地名,センター（center.csvを使わない場合は空白化）,燃やせるごみ,燃やさないごみ・小型家電・有害ごみ,プラ容器,ペット・紙パック・古着,新聞紙・段ボール,雑誌・雑紙,カン・びん
川原城町,環境クリーンセンター,月 木,金1 金3,月1 月3,火1 火3,水1 水3,土1 土3,木1 木3
稲葉町,環境クリーンセンター,火 金,金2 金4,月2 月4,火2 火4,水2 水4,土2 土4,木2 木4
